                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8296,                 2.4997,                 1.0647,                0.26698,                0.14252,                 0.1149,                0.06092,                 1.6919,                 1.6176,                 1.0199,              0.0033251,              0.0033251,              0.0033251
                      1,                 1.7515,                 1.6464,                 1.0223,                0.22221,                0.18975,                0.14838,                0.07791,                 1.6911,                 1.4674,                0.99287,              0.0065925,              0.0065925,              0.0065925
                      2,                 1.7514,                  1.563,                 1.0167,                 0.2411,                0.21713,                0.17198,                0.09358,                 1.6474,                 1.3813,                0.99289,              0.0097939,              0.0097939,              0.0097939
                      3,                 1.7386,                 1.5179,                 1.0078,                0.24592,                0.20279,                0.17173,                0.08953,                  1.696,                 1.4154,                0.99065,               0.009703,               0.009703,               0.009703
                      4,                 1.6858,                 1.4325,                0.99483,                0.25773,                0.25522,                0.20334,                0.11089,                 1.5941,                 1.3127,                0.96553,               0.009703,               0.009703,               0.009703
                      5,                 1.6426,                 1.3743,                0.98678,                0.29998,                0.23358,                0.21301,                0.11891,                 1.5715,                 1.2945,                0.96453,               0.009604,               0.009604,               0.009604
                      6,                 1.6269,                 1.3443,                0.97941,                0.32754,                0.24913,                0.22272,                 0.1243,                 1.5399,                 1.2369,                 0.9538,               0.009505,               0.009505,               0.009505
                      7,                 1.6036,                 1.3153,                0.97607,                0.35187,                0.24775,                0.22903,                0.12782,                 1.5158,                 1.1993,                0.95523,               0.009406,               0.009406,               0.009406
                      8,                 1.5915,                 1.2858,                0.96876,                 0.3307,                 0.2663,                0.23422,                0.12993,                 1.5177,                  1.239,                0.96053,               0.009307,               0.009307,               0.009307
                      9,                 1.5791,                 1.2675,                0.96692,                0.33872,                0.25471,                0.23915,                0.13392,                  1.518,                 1.2004,                0.94707,               0.009208,               0.009208,               0.009208
                     10,                 1.5642,                 1.2454,                 0.9625,                0.34593,                0.26755,                0.24584,                0.13873,                  1.482,                 1.1891,                0.94841,               0.009109,               0.009109,               0.009109
                     11,                 1.5491,                 1.2351,                0.96127,                0.34241,                0.26706,                0.25251,                0.14214,                  1.485,                 1.1662,                0.94363,                0.00901,                0.00901,                0.00901
                     12,                 1.5438,                 1.2136,                0.95759,                0.35432,                0.27902,                0.25973,                0.14553,                 1.4771,                 1.1478,                  0.945,               0.008911,               0.008911,               0.008911
                     13,                  1.532,                  1.197,                 0.9557,                0.35776,                0.27304,                0.25972,                0.14702,                  1.468,                 1.1366,                0.94009,               0.008812,               0.008812,               0.008812
                     14,                 1.5177,                 1.1813,                0.95328,                0.37088,                0.28063,                0.26773,                 0.1506,                 1.4568,                 1.1171,                0.94087,               0.008713,               0.008713,               0.008713
                     15,                 1.5205,                 1.1796,                0.95367,                 0.3618,                0.27596,                0.26809,                0.15008,                 1.4524,                 1.1236,                0.93435,               0.008614,               0.008614,               0.008614
                     16,                 1.5108,                 1.1678,                0.95109,                0.35955,                0.28311,                0.26778,                0.15073,                 1.4592,                 1.1134,                  0.942,               0.008515,               0.008515,               0.008515
                     17,                 1.5089,                 1.1539,                0.94833,                0.35879,                0.28697,                0.26836,                 0.1521,                 1.4372,                 1.1178,                0.93137,               0.008416,               0.008416,               0.008416
                     18,                 1.4958,                 1.1485,                 0.9479,                 0.3863,                0.29126,                0.28083,                0.15875,                 1.4361,                 1.0981,                0.93114,               0.008317,               0.008317,               0.008317
                     19,                 1.4976,                 1.1425,                0.94573,                0.38776,                 0.2896,                  0.281,                0.16002,                 1.4313,                 1.0978,                0.93084,               0.008218,               0.008218,               0.008218
                     20,                 1.4875,                 1.1321,                0.94406,                0.37801,                0.29712,                0.27672,                0.15699,                 1.4365,                 1.0925,                0.93519,               0.008119,               0.008119,               0.008119
                     21,                 1.4856,                  1.126,                0.94153,                0.38612,                 0.2903,                0.28376,                0.16205,                 1.4247,                 1.0803,                0.93197,                0.00802,                0.00802,                0.00802
                     22,                 1.4781,                 1.1238,                0.94004,                0.39139,                0.29053,                0.28429,                0.16087,                 1.4181,                 1.0786,                 0.9293,               0.007921,               0.007921,               0.007921
                     23,                 1.4687,                 1.1102,                0.93984,                0.37045,                 0.2921,                0.27792,                0.15799,                 1.4214,                 1.0783,                0.92819,               0.007822,               0.007822,               0.007822
                     24,                  1.468,                 1.1128,                0.93926,                0.39614,                 0.2873,                0.28547,                0.16334,                 1.4105,                 1.0746,                0.92573,               0.007723,               0.007723,               0.007723
                     25,                 1.4696,                 1.1046,                  0.938,                0.39164,                0.29733,                0.28896,                0.16504,                 1.4115,                 1.0702,                0.92727,               0.007624,               0.007624,               0.007624
                     26,                 1.4633,                 1.1024,                0.93864,                0.37076,                0.30698,                0.28978,                0.16639,                 1.4062,                  1.073,                0.92352,               0.007525,               0.007525,               0.007525
                     27,                 1.4541,                 1.0912,                0.93874,                0.40472,                0.29329,                 0.2892,                0.16668,                 1.3985,                 1.0601,                0.92738,               0.007426,               0.007426,               0.007426
                     28,                 1.4555,                 1.0908,                0.93583,                0.39435,                0.30235,                0.29377,                0.16788,                 1.4048,                 1.0555,                0.92432,               0.007327,               0.007327,               0.007327
                     29,                 1.4518,                 1.0848,                0.93488,                0.39934,                0.30611,                0.29844,                0.16849,                 1.4027,                 1.0542,                0.92447,               0.007228,               0.007228,               0.007228
                     30,                 1.4436,                 1.0798,                0.93308,                0.40547,                0.29581,                0.29684,                0.17052,                 1.3927,                 1.0469,                0.92636,               0.007129,               0.007129,               0.007129
                     31,                 1.4518,                 1.0789,                0.93419,                0.39701,                0.30786,                0.30164,                0.17158,                  1.386,                 1.0441,                0.92331,                0.00703,                0.00703,                0.00703
                     32,                 1.4384,                 1.0648,                0.93256,                0.41039,                0.30149,                0.30142,                0.17294,                  1.383,                 1.0391,                0.92148,               0.006931,               0.006931,               0.006931
                     33,                 1.4358,                 1.0621,                0.93078,                0.41132,                0.30336,                0.30133,                0.17491,                 1.3859,                 1.0329,                0.92231,               0.006832,               0.006832,               0.006832
                     34,                  1.433,                 1.0604,                0.92952,                0.39988,                0.30999,                0.30401,                0.17398,                 1.3861,                 1.0314,                0.91973,               0.006733,               0.006733,               0.006733
                     35,                 1.4292,                 1.0554,                0.93074,                0.41108,                0.31269,                0.30809,                0.17644,                  1.382,                 1.0294,                0.92114,               0.006634,               0.006634,               0.006634
                     36,                 1.4359,                 1.0609,                0.92951,                0.40258,                0.31213,                0.30155,                0.17391,                 1.3762,                  1.035,                0.92114,               0.006535,               0.006535,               0.006535
                     37,                 1.4278,                 1.0533,                0.92903,                0.41951,                0.31451,                0.30967,                0.17883,                 1.3727,                 1.0237,                0.91765,               0.006436,               0.006436,               0.006436
                     38,                 1.4176,                 1.0422,                0.92738,                0.41927,                0.31384,                0.31114,                0.17873,                  1.371,                 1.0269,                0.91788,               0.006337,               0.006337,               0.006337
                     39,                 1.4246,                 1.0422,                0.92798,                0.41916,                0.30994,                0.30555,                0.17577,                 1.3689,                 1.0253,                0.91756,               0.006238,               0.006238,               0.006238
                     40,                 1.4151,                 1.0366,                0.92551,                0.41529,                0.31903,                0.31285,                0.18041,                 1.3661,                 1.0107,                0.91651,               0.006139,               0.006139,               0.006139
                     41,                 1.4218,                 1.0412,                 0.9262,                0.41217,                0.32012,                0.31056,                0.17969,                 1.3689,                   1.01,                0.91654,                0.00604,                0.00604,                0.00604
                     42,                 1.4121,                 1.0329,                0.92408,                0.41617,                0.31772,                0.31393,                0.18065,                 1.3631,                 1.0063,                 0.9159,               0.005941,               0.005941,               0.005941
                     43,                 1.4032,                 1.0193,                0.92266,                0.42962,                0.31666,                0.31561,                 0.1802,                 1.3667,                 1.0032,                0.91777,               0.005842,               0.005842,               0.005842
                     44,                    1.4,                 1.0219,                0.92221,                0.41999,                0.31747,                0.31736,                0.18256,                 1.3605,                 1.0015,                0.91596,               0.005743,               0.005743,               0.005743
                     45,                 1.3989,                 1.0185,                 0.9223,                 0.4283,                0.31821,                  0.319,                0.18371,                 1.3605,                  1.005,                0.91498,               0.005644,               0.005644,               0.005644
                     46,                 1.4057,                 1.0229,                0.92222,                0.42757,                0.31777,                0.31826,                0.18194,                 1.3678,                 1.0039,                  0.917,               0.005545,               0.005545,               0.005545
                     47,                 1.3971,                 1.0188,                0.92169,                0.42623,                0.31985,                0.31975,                0.18369,                 1.3552,                0.99629,                0.91334,               0.005446,               0.005446,               0.005446
                     48,                 1.3925,                 1.0116,                0.91938,                0.44077,                0.32076,                0.32214,                 0.1859,                 1.3544,                0.99207,                0.91389,               0.005347,               0.005347,               0.005347
                     49,                 1.3915,                 1.0116,                0.92116,                0.42503,                0.32989,                0.32754,                0.18903,                 1.3491,                0.98735,                0.91226,               0.005248,               0.005248,               0.005248
                     50,                 1.3961,                 1.0108,                0.92184,                0.42702,                0.32182,                0.32098,                0.18581,                 1.3489,                0.99261,                0.91265,               0.005149,               0.005149,               0.005149
                     51,                 1.3981,                 1.0076,                0.92079,                 0.4401,                0.32202,                0.32381,                0.18691,                 1.3498,                0.98687,                0.91103,                0.00505,                0.00505,                0.00505
                     52,                 1.3905,                 1.0052,                0.91913,                0.42884,                0.32056,                0.32097,                0.18604,                 1.3469,                0.98927,                0.91259,               0.004951,               0.004951,               0.004951
                     53,                 1.3877,                 1.0027,                0.91858,                0.42731,                0.32402,                0.32297,                0.18763,                 1.3459,                0.98921,                0.91079,               0.004852,               0.004852,               0.004852
                     54,                 1.3918,                 1.0023,                0.91882,                0.43418,                 0.3249,                0.32634,                0.18944,                 1.3476,                0.98557,                0.91108,               0.004753,               0.004753,               0.004753
                     55,                 1.3794,                0.99031,                0.91682,                0.43335,                0.32607,                0.32806,                 0.1901,                 1.3456,                0.98625,                0.91215,               0.004654,               0.004654,               0.004654
                     56,                 1.3822,                0.99828,                0.91777,                0.42867,                0.32798,                0.32484,                0.18841,                 1.3431,                  0.983,                0.91054,               0.004555,               0.004555,               0.004555
                     57,                 1.3808,                0.99378,                 0.9164,                0.43816,                 0.3265,                0.32743,                0.18976,                 1.3412,                0.98124,                0.90985,               0.004456,               0.004456,               0.004456
                     58,                 1.3771,                0.98727,                0.91431,                 0.4422,                0.32469,                0.32791,                0.18982,                  1.346,                0.98524,                0.91104,               0.004357,               0.004357,               0.004357
                     59,                 1.3738,                0.98341,                0.91578,                0.44124,                0.32016,                0.32786,                0.19053,                 1.3419,                0.97619,                   0.91,               0.004258,               0.004258,               0.004258
                     60,                 1.3783,                0.98803,                0.91598,                0.42892,                0.32959,                 0.3283,                   0.19,                 1.3393,                0.97804,                0.90907,               0.004159,               0.004159,               0.004159
                     61,                 1.3668,                0.97903,                 0.9133,                0.43227,                0.33465,                0.33041,                0.19112,                 1.3362,                 0.9754,                0.90763,                0.00406,                0.00406,                0.00406
                     62,                 1.3764,                  0.984,                0.91609,                0.43996,                0.33168,                0.33125,                0.19171,                 1.3329,                0.96984,                0.90857,               0.003961,               0.003961,               0.003961
                     63,                 1.3715,                0.97931,                0.91474,                0.43801,                0.32942,                 0.3292,                0.19163,                 1.3417,                0.97634,                0.91106,               0.003862,               0.003862,               0.003862
                     64,                 1.3684,                0.97443,                 0.9155,                0.43608,                0.33209,                0.32977,                0.19116,                 1.3354,                0.97466,                0.90942,               0.003763,               0.003763,               0.003763
                     65,                 1.3567,                0.96885,                0.91392,                0.44028,                0.33147,                0.33125,                0.19212,                 1.3323,                0.96821,                0.90802,               0.003664,               0.003664,               0.003664
                     66,                  1.365,                0.97132,                0.91261,                0.43401,                0.33277,                0.33079,                0.19195,                 1.3313,                0.96921,                0.90743,               0.003565,               0.003565,               0.003565
                     67,                 1.3602,                0.97079,                0.91183,                0.43023,                0.33536,                0.33137,                 0.1926,                  1.333,                0.97035,                0.90771,               0.003466,               0.003466,               0.003466
                     68,                 1.3482,                0.95703,                0.90923,                 0.4405,                0.33053,                 0.3319,                0.19289,                 1.3322,                0.96943,                0.90839,               0.003367,               0.003367,               0.003367
                     69,                 1.3582,                0.96365,                 0.9128,                0.43557,                 0.3368,                0.33293,                0.19384,                   1.33,                0.96571,                0.90698,               0.003268,               0.003268,               0.003268
                     70,                 1.3558,                0.96135,                0.91024,                0.44117,                0.33754,                0.33575,                0.19591,                 1.3283,                0.96268,                0.90662,               0.003169,               0.003169,               0.003169
                     71,                 1.3531,                0.95814,                0.90955,                0.44139,                0.33199,                0.33433,                0.19489,                 1.3278,                0.96251,                0.90613,                0.00307,                0.00307,                0.00307
                     72,                 1.3526,                0.95892,                0.90997,                0.42596,                0.33579,                0.33072,                0.19274,                 1.3317,                0.96956,                0.90695,               0.002971,               0.002971,               0.002971
                     73,                 1.3533,                 0.9573,                 0.9089,                0.43607,                0.33508,                0.33341,                0.19475,                 1.3288,                0.96496,                0.90614,               0.002872,               0.002872,               0.002872
                     74,                 1.3519,                0.95381,                0.90982,                0.44058,                0.33685,                0.33575,                0.19581,                 1.3276,                0.96127,                0.90571,               0.002773,               0.002773,               0.002773
                     75,                 1.3493,                0.94988,                0.90905,                0.44722,                0.33272,                0.33642,                0.19643,                 1.3278,                0.95852,                0.90574,               0.002674,               0.002674,               0.002674
                     76,                 1.3455,                0.94752,                 0.9074,                 0.4381,                0.33673,                0.33585,                0.19695,                  1.323,                 0.9602,                0.90505,               0.002575,               0.002575,               0.002575
                     77,                 1.3461,                0.94556,                0.90778,                0.43938,                 0.3368,                 0.3377,                0.19675,                 1.3254,                 0.9573,                0.90579,               0.002476,               0.002476,               0.002476
                     78,                 1.3386,                 0.9423,                0.90844,                0.43211,                0.33922,                0.33845,                0.19738,                  1.326,                  0.959,                0.90598,               0.002377,               0.002377,               0.002377
                     79,                 1.3426,                0.94249,                0.90816,                0.43554,                0.33865,                 0.3383,                0.19679,                 1.3271,                0.95698,                0.90612,               0.002278,               0.002278,               0.002278
                     80,                 1.3316,                0.93594,                0.90673,                0.43875,                 0.3381,                 0.3393,                0.19751,                 1.3267,                0.95678,                  0.906,               0.002179,               0.002179,               0.002179
                     81,                 1.3376,                0.93338,                0.90759,                0.45077,                0.33655,                0.33842,                0.19743,                  1.326,                0.95611,                0.90563,                0.00208,                0.00208,                0.00208
                     82,                 1.3355,                 0.9345,                0.90634,                0.44942,                0.33753,                0.34037,                0.19884,                 1.3268,                 0.9554,                0.90572,               0.001981,               0.001981,               0.001981
                     83,                 1.3301,                0.93097,                0.90538,                0.45042,                0.33609,                0.34019,                0.19835,                 1.3246,                0.95375,                 0.9052,               0.001882,               0.001882,               0.001882
                     84,                 1.3327,                0.92874,                0.90551,                0.45251,                0.33336,                0.33924,                0.19748,                 1.3242,                0.95464,                0.90522,               0.001783,               0.001783,               0.001783
                     85,                 1.3319,                0.92866,                0.90495,                0.43881,                0.34052,                0.33829,                0.19756,                 1.3238,                0.95496,                0.90458,               0.001684,               0.001684,               0.001684
                     86,                 1.3242,                0.92761,                0.90418,                0.45137,                0.33825,                0.33928,                0.19736,                 1.3214,                0.95194,                0.90466,               0.001585,               0.001585,               0.001585
                     87,                  1.324,                0.92169,                0.90389,                0.45598,                0.33617,                0.34129,                0.19886,                 1.3199,                0.95166,                0.90382,               0.001486,               0.001486,               0.001486
                     88,                 1.3258,                0.92399,                 0.9043,                0.45702,                0.33796,                0.34113,                0.19868,                 1.3197,                0.95201,                0.90372,               0.001387,               0.001387,               0.001387
                     89,                 1.3259,                0.91965,                0.90473,                0.44718,                0.33816,                0.33985,                0.19865,                 1.3197,                 0.9523,                0.90322,               0.001288,               0.001288,               0.001288
                     90,                 1.3156,                0.91464,                 0.9029,                0.45043,                0.33673,                0.33967,                0.19845,                 1.3213,                  0.951,                0.90374,               0.001189,               0.001189,               0.001189
                     91,                 1.3204,                0.91655,                 0.9031,                0.44872,                0.33884,                0.34061,                 0.1986,                  1.321,                0.95135,                0.90409,                0.00109,                0.00109,                0.00109
                     92,                 1.3229,                0.91577,                0.90221,                0.44846,                0.33951,                0.34114,                0.19892,                 1.3211,                0.95099,                0.90355,               0.000991,               0.000991,               0.000991
                     93,                 1.3231,                0.91361,                0.90148,                0.45187,                0.34071,                0.34158,                0.19875,                 1.3201,                0.95068,                0.90344,               0.000892,               0.000892,               0.000892
                     94,                 1.3108,                0.90291,                0.90209,                0.45778,                0.33839,                 0.3421,                0.19904,                 1.3207,                0.95017,                0.90355,               0.000793,               0.000793,               0.000793
                     95,                 1.3022,                0.90242,                0.90068,                0.45417,                0.33871,                0.34236,                0.19943,                 1.3201,                0.94982,                0.90347,               0.000694,               0.000694,               0.000694
                     96,                 1.3076,                0.90094,                0.90105,                0.45168,                0.34011,                0.34283,                0.19974,                 1.3206,                0.94962,                0.90332,               0.000595,               0.000595,               0.000595
                     97,                 1.3079,                 0.9021,                0.89998,                0.45096,                0.34196,                0.34308,                0.19978,                 1.3202,                0.94884,                 0.9032,               0.000496,               0.000496,               0.000496
                     98,                 1.3107,                0.89818,                0.90114,                0.45109,                0.34219,                0.34351,                0.20013,                 1.3208,                0.94902,                0.90335,               0.000397,               0.000397,               0.000397
                     99,                 1.3077,                0.90003,                0.90033,                0.44526,                0.34337,                0.34302,                0.19985,                 1.3212,                0.94859,                0.90354,               0.000298,               0.000298,               0.000298
